feature,importance,absolute_importance
D,-2.6434117312872245,2.6434117312872245
uniq_Op,1.785210653814897,1.785210653814897
uniq_Opnd,1.5658740051174154,1.5658740051174154
lOBlank,0.9344627172441509,0.9344627172441509
branchCount,-0.8656684814524443,0.8656684814524443
B,0.7637384210142462,0.7637384210142462
V,-0.7431375272514266,0.7431375272514266
v(g),-0.6238058387897196,0.6238058387897196
iv(G),-0.5861694156735845,0.5861694156735845
I,-0.5334433273411764,0.5334433273411764
total_Opnd,0.4532646762135939,0.4532646762135939
locCodeAndComment,0.42008567010824516,0.42008567010824516
loc,0.3046130053310096,0.3046130053310096
ev(g),0.30167276756797584,0.30167276756797584
lOCode,0.2777286556008555,0.2777286556008555
L,0.2651696369541986,0.2651696369541986
E,0.16884975269529692,0.16884975269529692
N,0.14934086062164742,0.14934086062164742
total_Op,-0.0819477886704007,0.0819477886704007
lOComment,-0.0806632769181504,0.0806632769181504
